city,file,geonameid
Ahaus,DE,2959279
Amberg,DE,2956656
Ansbach,DE,2955936
Aschaffenburg,DE,2955272
Banská Štiavnica,SK,3061184
Bergneustadt,DE,2950294
Berlin,DE,2950159
Białystok,PL,776069
Bludenz,AT,2781680
Bp.,HU,3054643
Bräunlingen,DE,2945051
Budapest,HU,3054643
Bukarest/Rumänien,AT
Bydgoszcz,PL
Bytom,PL
Börnsdorf,DE
Crimmitschau,DE
Debrecen,HU
Dresden,DE
Dédes,HU
Elte,DE
Essen,DE
Finowfurt,DE
Freiberg,DE
Garrel,DE
Gdańsk 1957.03.15.,PL
Gdynia,PL
Graz,AT
Gyöngyös,HU
Halstenbek,DE
Hamburg,DE
Heidelberg,DE
Isingdorf,DE
Jarocin,PL
Katowice,PL
Kecskemét,HU
Knittelfeld,AT
Koblenz,DE
Koellerbach,DE
Konstanz,DE
Kopenhagen,DE
Kraków,PL
Kráľová pri Senci,SK
Köln,DE
Landeck,AT
Legnica,PL
Liebenstein/Eger,DE
Liptovský Mikuláš,SK
Lonsee,DE
Lubliniec,PL
Miskolc,HU
Mühldorf/Inn,DE
München,DE
Neukirch,DE
New York,SK
Nonnweiler-Schwarzenbach,DE
Nowa Sarzyna,PL
Nowa Sól,PL
Ober-Danegg,AT
Offenbach/Main,DE
Osterode/Harz,DE
Owinska,PL
Poznań,PL
Przemyśl,PL
Przygodzice k. Ostrowa Wielkopolskiego,PL
Pécs,HU
Rybnik,PL
Saarbrücken,DE
Salgótarján,HU
Salzgitter,DE
St. Pölten,AT
Stuttgart,DE
Sulzbach,DE
Szczecin,PL
Szczecinek (woj. zachodniopomorskie),PL
Szekszárd,HU
Sárospatak,HU
Thaleischweiler,DE
Tiszafüred,HU
Tiszakécske,HU
Trenčín,SK
Tuchola,PL
Wadersloh,DE
Warszawa,PL
Weimar,DE
Wien,AT,2761369
Wołomin 1968.03.20..,PL
Wulkaprodersdorf,AT
Zgierz,PL
Závod,SK
Złochowice (powiat Kłobuck),PL
Łopatki k. Łasku,PL
Świętochłowice,PL
Αθήνα,GR,264371
Kolozsvár,HU
Viedeň,SK,2761369
